virtual users,replicas,consumption,http req duration (95%)
25.0,1,12.38906658816,33.020941
25.0,2,12.585364543995986,33.020941
25.0,3,12.781733473657518,33.020941
50.0,1,17.571687727104,37.775932
50.0,2,17.693750111392855,37.775932
50.0,3,17.80943244636123,37.775932
75.0,1,21.191803158527996,36.691985
75.0,5,21.82762512,36.691985
75.0,6,22.266699710976,37.2339585
100.0,3,27.86039006212574,42.715
100.0,2,28.043125794170304,42.477500000000006
100.0,1,28.20095999998798,42.24
125.0,1,29.762393407488002,42.002318
125.0,5,30.67421616,42.002318
125.0,6,31.291305538320003,42.596159
250.0,1,50.97738240001739,46.18
250.0,2,54.315644029819765,46.165
250.0,3,57.75908829782201,46.15
375.0,1,68.938857824256,64.859496
375.0,5,74.99706624,64.859496
375.0,6,76.50403133356798,69.6529605
500.0,1,93.74330879999734,120.98
500.0,2,103.6520844299996,121.745
500.0,3,113.91054696000201,122.51
625.0,1,125.243065810944,312.875846
625.0,5,127.53090576,232.875846
625.0,2,128.6669671932608,305.915846
750.0,1,145.3759488000155,780.4
750.0,2,153.1129402910524,662.3325
750.0,3,161.07598512441098,644.265
